#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Gewerbe;Türkheim Gewerbe;10275;de:08117:275;08117024;Geislingen an der Steige;Türkheim;GP;7;"Bus;Ruftaxi";RT350,350;50350_,75350_;2;50,75;9,79641965;48,57917576
Mühlstraße;Süßen Mühlstraße;10303;de:08117:303;08117049;Süßen;Süßen;GP;6,7;Bus;970,971,972,972A;31970_,31971_,31972_,31972a;4;31;9,75387321;48,67990184
Steingartenschule;Donzdorf Steingartenschule;10310;de:08117:310;08117015;Donzdorf;Donzdorf;GP;6,7;Bus;970,971,972,972A;31970_,31971_,31972_,31972a;4;31;9,812741449;48,6857871
Steighof Abzweig Treffelhausen;Lstein. Steighof Abzw. Trefhsn;10315;de:08117:315;08117061;Lauterstein;Lauterstein;GP;7;Bus;972,972A,N97;31972_,31972a,34097_;3;31,34;9,907713994;48,70075159
Albsporthalle;Böhmenkirch Albsporthalle;10316;de:08117:316;08117010;Böhmenkirch;Böhmenkirch;GP;7;Bus;950,950A,972,972A,N97;31950_,31950a,31972_,31972a,34097_;5;31,34;9,927272338;48,68718769
Sonne;Treffelhausen Sonne;10317;de:08117:317;08117010;Böhmenkirch;Treffelhausen;GP;7;Bus;950,950A;31950_,31950a;2;31;9,891235927;48,68774209
Siedlung;Schnittlingen Siedlung;10318;de:08117:318;08117010;Böhmenkirch;Schnittlingen;GP;7;Bus;950,950A;31950_,31950a;2;31;9,873703802;48,67453138
Wetterwarte;Schnittlingen Wetterwarte;10319;de:08117:319;08117010;Böhmenkirch;Schnittlingen;GP;7;Bus;950,950A;31950_,31950a;2;31;9,867277399;48,66482294
Aussiedlerhöfe;Stötten Aussiedlerhöfe;10320;de:08117:320;08117024;Geislingen an der Steige;Stötten;GP;7;Bus;950,950A;31950_,31950a;2;31;9,851371863;48,64983397
Rathaus;Nenningen Rathaus;10329;de:08117:329;08117061;Lauterstein;Nenningen;GP;7;Bus;972,972A,N97;31972_,31972a,34097_;3;31,34;9,868649522;48,70985673
Abzweig Degenfeld;Lauterstein Abzw. Degenfeld;10330;de:08117:330;08117061;Lauterstein;Lauterstein;GP;7;Bus;972,972A,N97;31972_,31972a,34097_;3;31,34;9,882564695;48,70992176
Wannenhöfe;Aufhausen Wannenhöfe;10497;de:08117:497;08117024;Geislingen an der Steige;Aufhausen (Geislingen);GP;7;"Bus;Ruftaxi";RT350,350;50350_,75350_;2;50,75;9,773351783;48,56757056
Schule;Aufhausen Schule;10498;de:08117:10498;08117024;Geislingen an der Steige;Aufhausen (Geislingen);GP;7;Bus;350;75350_;1;75;9,768988625;48,58452422
Krönerhof;Aufhausen Krönerhof;10511;de:08117:511;08117024;Geislingen an der Steige;Aufhausen (Geislingen);GP;7;"Bus;Ruftaxi";RT350,350;50350_,75350_;2;50,75;9,784319427;48,58371031
